File name,label,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Bandwidth,Spectral_Rolloff,Zero_Crossing_Rate,RMS_Energy,D1_Mean,D1_Std,D2_Mean,D2_Std,D3_Mean,D3_Std,A3_Mean,A3_Std,RMS_Envelope_Mean,Hilbert_Envelope_Mean,Max,Mean,Std,Median,Energy,Entropy,MaxFreq1,MaxFreq2,Unnamed: 38,Max.1,Mean.1,Std.1,Median.1,Energy.1,Entropy.1,MaxFreq1.1,MaxFreq2.1,Bispectrum Matrix,source_file
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009190419306815232,115h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2823.02667131988,0.11668218733107565,14.278332073647077,0.0,13466359.516215196,1.806176605363364,1.0,1.0,,,,,,,,,,,115h_denoised_bispectrum_features.csv
,healthy,-245.0871222074896,113.05801797804112,27.456487027888752,66.86578538163712,12.707195684412802,38.955919078507975,20.36027826952177,12.806295800365218,11.937762002068387,17.724137040917,-1.2217011228794543,9.517060073221538,5.579787383813724,1831.484097533775,3699.4569916117975,4258.428837953092,0.0071378598081023,0.2524726092815399,2.047991840460262e-06,0.002252911063758,9.81197965441211e-06,0.0150593351508818,-0.0001245143129235,0.0144773824909865,0.0004613200449313,0.7386386603936226,0.2463557571172714,0.3269145786762237,,,,,,,,,,,,,,,,,,,115h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010583049695491728,116h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235.115967039529,0.09239053950996226,11.284765699491627,0.0,8411635.580850413,1.827453721645876,1.0,1.0,,,,,,,,,,,116h_denoised_bispectrum_features.csv
,healthy,-254.32289189399043,120.84919608426829,30.167679096463512,68.67084269495139,16.751076305928944,36.14009504559591,22.4584932779089,10.378408794169822,10.443820303421017,16.000076024715494,-1.3160703231086688,7.995574101302571,5.503259336272929,1558.696881199328,3403.647199720045,3338.1696428571427,0.0069598297574626,0.2484563440084457,1.8259905557801704e-06,0.0015069240383549,-4.430417579884655e-06,0.0119459682996067,0.0001733151065236,0.0130033568396844,0.0006541893953022,0.7302969862598818,0.2407213151454925,0.3175051212310791,,,,,,,,,,,,,,,,,,,116h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00027658990961870966,117h_denoised_bispectrum.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2913.0176922738774,0.09562753570248185,12.311771305396116,0.0,10012292.435937144,1.9749193166284889,1.0,1.0,,,,,,,,,,,117h_denoised_bispectrum_features.csv
,healthy,-245.25150135237357,122.77716602394692,28.630061574804223,69.51878336653932,15.562613648827115,34.84419434713799,22.375443017611268,9.258809683164902,8.90711992729683,16.37475675737162,-1.30931769822192,9.073438531395496,6.236525008969689,1573.378949367054,3374.986209333249,3443.213619402985,0.008188341218017,0.2531396448612213,-2.273329804909571e-06,0.0012240131410995,-1.527225127117728e-06,0.0130607418567985,-3.0153899120705315e-05,0.0148346248547027,0.0029070121641339,0.743782342404658,0.2463610023260116,0.3256436884403229,,,,,,,,,,,,,,,,,,,117h_denoised_engine_features.csv
,healthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00031527651514614825,118h_denoised_bispectrum.csv
